file_name,image_id_a,image_id_b,n_batches_for_file,mask_area_a_px,mask_area_b_px,n_anns_a,n_anns_b,iou
20210626133950Bh.jpeg,040301-20210626133950Bh,040303-20210626133950Bh,2,2819,3267,3,1,0.0
20150727082014Th.jpeg,030401-20150727082014Th,030403-20150727082014Th,2,834,4610,1,2,0.0
20121006063534Lh.jpeg,010202-20121006063534Lh,010201-20121006063534Lh,2,8693,1819,5,2,0.0809254498714653
20160225173314Mh.jpeg,010403-20160225173314Mh,010402-20160225173314Mh,3,5530,18218,3,8,0.0950843862399705
20171007133730Ch.jpeg,010403-20171007133730Ch,010402-20171007133730Ch,2,554,5465,1,4,0.09996345029239766
20210201020330Lh.jpeg,010201-20210201020330Lh,010203-20210201020330Lh,3,9498,3076,3,1,0.11778824784425282
20190611032810Mh.jpeg,010202-20190611032810Mh,010203-20190611032810Mh,3,9645,1574,3,1,0.12212442488497699
20190611032810Mh.jpeg,010202-20190611032810Mh,010201-20190611032810Mh,3,9645,1681,3,1,0.1260688009544641
20160225173314Mh.jpeg,010401-20160225173314Mh,010402-20160225173314Mh,3,5055,18218,5,8,0.1322856864843826
20130107174854Bh.jpeg,050102-20130107174854Bh,050101-20130107174854Bh,3,70018,12584,11,4,0.13279117925369247
20171103222630Lh.jpeg,010202-20171103222630Lh,010201-20171103222630Lh,2,4416,752,3,1,0.13857677902621723
20110410141654Bh.jpeg,010403-20110410141654Bh,010402-20110410141654Bh,3,3582,23387,2,4,0.13980812307172139
20161205133714Th.jpeg,010401-20161205133714Th,010402-20161205133714Th,3,15598,6447,4,3,0.14365013488275577
20120720085114Th.jpeg,050101-20120720085114Th,050102-20120720085114Th,3,1910,11702,3,6,0.14473130939365908
20151128133734Ch.jpeg,040301-20151128133734Ch,040302-20151128133734Ch,2,2444,7909,5,10,0.14752826424296164
20150819082014Th.jpeg,010201-20150819082014Th,010202-20150819082014Th,3,4425,889,6,1,0.1487246000864678
20161205133714Th.jpeg,010401-20161205133714Th,010403-20161205133714Th,3,15598,4070,4,2,0.15091579378547604
20110301082654Uh.jpeg,010403-20110301082654Uh,010402-20110301082654Uh,3,1245,3056,2,4,0.15308310991957105
20110410141654Bh.jpeg,010403-20110410141654Bh,010401-20110410141654Bh,3,3582,11944,2,4,0.1717735849056604
20120914063134Lh.jpeg,040302-20120914063134Lh,040301-20120914063134Lh,2,6560,1544,4,3,0.18254778928936233
20150819082014Th.jpeg,010201-20150819082014Th,010203-20150819082014Th,3,4425,1592,6,1,0.19456025411951558
20110301082654Uh.jpeg,010401-20110301082654Uh,010402-20110301082654Uh,3,702,3056,1,4,0.19491255961844198
20120720085114Th.jpeg,050101-20120720085114Th,050103-20120720085114Th,3,1910,7519,3,6,0.19778963414634146
20110803164914Mh.jpeg,010402-20110803164914Mh,010401-20110803164914Mh,3,28486,6412,14,8,0.19788555933134247
20110205082634Lh.jpeg,020401-20110205082634Lh,020403-20110205082634Lh,2,6464,1817,4,2,0.19944959443800694
20171011170310Mh.jpeg,010102-20171011170310Mh,010101-20171011170310Mh,3,1036,1223,1,2,0.20159574468085106
20170804140650Bh.jpeg,010401-20170804140650Bh,010402-20170804140650Bh,3,797,3339,1,3,0.20302501454333916
20171011170310Mh.jpeg,010101-20171011170310Mh,010103-20171011170310Mh,3,1223,615,2,1,0.20445609436435125
20210624133950Bh.jpeg,010303-20210624133950Bh,010302-20210624133950Bh,2,777,3259,1,2,0.20585599043919928
20190701123830Ch.jpeg,040301-20190701123830Ch,040302-20190701123830Ch,2,1122,3251,1,4,0.2090129941940835
20170726235030Lh.jpeg,010202-20170726235030Lh,010203-20170726235030Lh,3,3295,15376,2,5,0.20910503820748608
20171101133730Ch.jpeg,010102-20171101133730Ch,010101-20171101133730Ch,3,2760,6121,1,5,0.21027527936767512
20130107174854Bh.jpeg,050102-20130107174854Bh,050103-20130107174854Bh,3,70018,17854,11,7,0.21065828993414346
20170119031254Uh.jpeg,010401-20170119031254Uh,010403-20170119031254Uh,3,1689,964,2,1,0.21418764302059495
20170119031254Uh.jpeg,010403-20170119031254Uh,010402-20170119031254Uh,3,964,3998,1,4,0.21796759941089838
20150720082014Th.jpeg,020401-20150720082014Th,020403-20150720082014Th,2,2927,9616,4,4,0.21847678259180106
20200114073230Lh.jpeg,020401-20200114073230Lh,020403-20200114073230Lh,2,2783,1048,2,1,0.21851145038167938
20120723095014Th.jpeg,010402-20120723095014Th,010403-20120723095014Th,3,7862,1914,6,3,0.22001747160863597
20210201020330Lh.jpeg,010202-20210201020330Lh,010203-20210201020330Lh,3,4954,3076,2,1,0.22129277566539923
20121109103634Ch.jpeg,010103-20121109103634Ch,010101-20121109103634Ch,3,6340,20418,5,10,0.22479058909690117
20170425133730Ch.jpeg,020401-20170425133730Ch,020403-20170425133730Ch,2,5631,2245,3,2,0.22698239601183984
20140509195814Mh.jpeg,010103-20140509195814Mh,010102-20140509195814Mh,3,4342,13965,6,8,0.2279983901261068
20140509195814Mh.jpeg,010102-20140509195814Mh,010101-20140509195814Mh,3,13965,3386,8,7,0.228737341548049
20180309000910Mh.jpeg,010101-20180309000910Mh,010103-20180309000910Mh,2,3328,1064,1,1,0.23128679562657695
20121109103634Ch.jpeg,010103-20121109103634Ch,010102-20121109103634Ch,3,6340,20764,5,9,0.23228006365082973
20140414020354Uh.jpeg,010202-20140414020354Uh,010201-20140414020354Uh,2,10053,13071,4,13,0.23486062159564242
20120723095014Th.jpeg,010401-20120723095014Th,010402-20120723095014Th,3,2174,7862,3,6,0.23535204332840964
20111009110234Ch.jpeg,010401-20111009110234Ch,010402-20111009110234Ch,3,5265,14753,10,16,0.23651862375687194
20171101133730Ch.jpeg,010101-20171101133730Ch,010103-20171101133730Ch,3,6121,1851,5,2,0.24019912881144992
20160920230134Lh.jpeg,010402-20160920230134Lh,010403-20160920230134Lh,3,12971,3693,8,2,0.24163624171075182
20140531195834Ch.jpeg,010203-20140531195834Ch,010202-20140531195834Ch,2,1440,3506,1,6,0.24490309589730683
20110203082634Lh.jpeg,010102-20110203082634Lh,010101-20110203082634Lh,3,4684,4045,1,5,0.24806977409207892
20120913165314Mh.jpeg,010401-20120913165314Mh,010402-20120913165314Mh,3,3024,9961,4,3,0.2506019454878166
